OBJECTID,NUEVOS_CASOS,TOTAL_CASOS,TOTAL_MUERTES,TOTAL_RECUPERADOS,FECHA_ACTUALIZACION,GlobalID,NUEVOS_MUERTOS,NUEVO_RECUPERADOS
1237,1,1,0,0,2020/03/06 05:00:00+00,bfbde439-2467-4f24-9b33-2fb38e3abd61,0,0
1238,0,1,0,0,2020/03/07 05:00:00+00,c21b35c0-d55e-44e0-8768-9356c9c1d545,0,0
1239,0,1,0,0,2020/03/08 05:00:00+00,0a1a91f7-15eb-4118-9879-1ab4d959b1d2,0,0
1240,2,3,0,0,2020/03/09 05:00:00+00,2fb6f539-a27c-4d00-84e1-b19193ceb500,0,0
1241,0,3,0,0,2020/03/10 05:00:00+00,f14b28c9-d593-4a53-9e2a-d7965c38c22c,0,0
1242,6,9,0,0,2020/03/11 05:00:00+00,19b7610f-f880-425f-a576-14d7cf449db9,0,0
1243,4,13,0,0,2020/03/12 05:00:00+00,05c6e621-ca75-487c-865b-4843e0b9912c,0,0
1244,3,16,0,0,2020/03/13 05:00:00+00,ddf7b62c-458b-4c0d-84dd-691510c9f7e5,0,0
1245,8,24,0,0,2020/03/14 05:00:00+00,81a3bbda-f3da-4d86-8354-77aebe5f34b2,0,0
1246,21,45,0,0,2020/03/15 05:00:00+00,4964ac92-a68d-46c3-b390-710ceeb4b791,0,0
1247,12,57,0,0,2020/03/16 05:00:00+00,642d8804-b356-44d0-8809-414e5e89ad8a,0,0
1248,18,75,0,0,2020/03/17 05:00:00+00,752a77e9-047f-457a-8dd7-24ed997ec009,0,0
1249,27,102,0,0,2020/03/18 05:00:00+00,63c416bf-6cc5-41c4-835e-5f95c1648a83,0,0
1250,26,128,0,0,2020/03/19 05:00:00+00,9c2d134c-4b68-4513-a28a-bda1f0599a3c,0,0
1251,47,175,0,0,2020/03/20 05:00:00+00,115ba935-9c62-4d18-8359-b00613cf237b,0,0
1252,35,210,1,0,2020/03/21 05:00:00+00,58144b7e-5224-45f2-aecd-efa00ad90671,1,0
1253,30,240,2,0,2020/03/22 05:00:00+00,41990ae8-f5db-486e-a855-7845c6911836,1,0
1254,66,306,3,6,2020/03/23 05:00:00+00,3b4c528c-66b4-49ca-9467-440522a6e4e5,1,6
1255,113,419,3,6,2020/03/24 05:00:00+00,c2973ced-7794-4d39-a5f2-5b8ef8477108,0,0
1256,62,481,4,8,2020/03/25 05:00:00+00,290a5930-b983-4d24-9b3a-685cd2dbe488,1,2
1257,10,491,6,8,2020/03/26 05:00:00+00,d04de305-74be-47d8-a26d-0699b133aa00,2,0
1258,48,539,6,10,2020/03/27 05:00:00+00,14350125-ad87-458d-b9f7-8b5e14dcf144,0,2
1259,69,608,6,10,2020/03/28 05:00:00+00,c341b33c-13db-4bff-bf96-c8218001f0cd,0,0
1260,94,702,10,10,2020/03/29 05:00:00+00,08c02a10-8680-478f-b1d5-4293d4b2fc8f,4,0
1261,96,798,14,15,2020/03/30 05:00:00+00,4d555227-5af6-492c-bee2-eb5c92575eb7,4,5
1262,108,906,16,31,2020/03/31 05:00:00+00,5ff7d74d-6a71-4aa3-8c0b-0cbe36a30319,2,16
1263,159,1065,17,39,2020/04/01 05:00:00+00,f564fa1d-541f-4864-a3b9-3f44f9bd75a6,1,8
1264,96,1161,19,55,2020/04/02 05:00:00+00,4a4446a3-758b-474c-9b10-9e2be08002de,2,16
1265,106,1267,25,55,2020/04/03 05:00:00+00,06febf10-1919-44db-8c63-130439adf253,6,0
1266,106,1267,25,55,2020/04/04 05:00:00+00,b0c360b1-1b4d-48da-8d57-4adb26698d63,6,0
1267,79,1485,35,88,2020/04/05 05:00:00+00,c086c40f-d4c3-4b0d-abee-779060e73121,3,3
1268,94,1579,46,88,2020/04/06 05:00:00+00,abaaa874-a62c-4ce3-9179-820c2aa9e43f,11,0
1269,201,1780,50,100,2020/04/07 05:00:00+00,36ed2f3f-317b-4bd6-9dfc-647aeba09049,4,12
1270,274,2054,54,123,2020/04/08 08:38:00+00,45ada4cd-2637-4bfd-b6c3-bf1d48aec361,4,23
1271,169,2223,69,174,2020/04/09 08:39:00+00,60dbf907-c9cc-4463-86a8-3913654f98a9,15,51
1272,250,2473,80,197,2020/04/10 05:00:00+00,cf5f8b42-b391-4a9d-ac35-14fbf2f79a16,11,23
1273,236,2709,100,214,2020/04/11 05:00:00+00,820139c2-e04c-4975-8e39-84b64dc12e6a,20,17
1274,67,2776,109,270,2020/04/12 05:00:00+00,31ae5f38-ed2c-448c-a928-61a8e2975f26,9,56
1275,76,2852,112,319,2020/04/13 05:00:00+00,a58dea4d-c0fa-40a0-a247-f5b0aba4fbff,3,49
1276,127,2979,127,354,2020/04/14 05:00:00+00,1fe59b52-8189-4276-9d35-fc240c91e2d3,15,35
1277,126,3105,131,452,2020/04/15 05:00:00+00,e32c40f5-f87a-451f-bcb7-c2ccf7e3d0ab,4,98
1278,128,3233,144,550,2020/04/16 05:00:00+00,5d57274a-458d-4792-8815-a94e60c7aaeb,13,98
1279,206,3439,153,634,2020/04/17 05:00:00+00,82b0f536-03e3-4b73-a87d-5e8d3ac06b3e,9,84
1280,182,3621,166,691,2020/04/18 05:00:00+00,f54707a1-85b8-4d97-8d3f-388559f57240,13,57
1281,171,3792,179,711,2020/04/19 05:00:00+00,fc13b4c6-d327-4f14-8e77-8ff1b3b0f9b2,13,20
1282,185,3977,189,804,2020/04/20 05:00:00+00,6d5341b8-78f9-454a-b093-b18cdf066547,10,93
1283,172,4149,196,804,2020/04/21 05:00:00+00,e39ecdf4-88cd-4e8d-a701-0f5934d2505a,7,0
1284,207,4356,206,870,2020/04/22 05:00:00+00,1c79e367-30f9-4cd9-a746-02e61a247e71,10,66
1285,205,4561,215,927,2020/04/23 05:00:00+00,9319ba9b-5385-4ad6-838f-6baff5bc4638,9,57
1286,320,4881,225,1003,2020/04/24 05:00:00+00,76462c64-0b5b-4c8c-855a-fd09fe435a44,10,76
1287,261,5142,233,1067,2020/04/25 05:00:00+00,b3a150c1-8c66-4036-8ca2-5443fd600ecf,8,64
1288,237,5379,244,1133,2020/04/26 05:00:00+00,e0ca47ca-c60f-4845-82fe-019069eac632,11,66
1289,218,5597,253,1210,2020/04/27 05:00:00+00,e85ebdd2-9c36-4681-86d5-9225178c2d87,9,77
1290,352,5949,269,1268,2020/04/28 05:00:00+00,de75c97d-0575-4663-9456-8bf17a9f3625,16,58
1291,262,6211,278,1411,2020/04/29 05:00:00+00,69c2027e-cfad-46d4-b8cd-8cc7fef0bcf7,9,143
1292,296,6507,293,1439,2020/04/30 05:00:00+00,2aa671e8-bf85-4dd2-81c8-238f2818c294,15,28
1293,499,7006,314,1551,2020/05/01 05:00:00+00,fa6877a2-1ffd-4814-bcff-4142489bd7f8,21,112
1294,279,7285,324,1666,2020/05/02 05:00:00+00,e2749c6d-f49c-4f5e-8872-4f57099a3411,10,115
1295,383,7668,340,1722,2020/05/03 05:00:00+00,d38705dc-b853-4115-bf30-d0c50b9f6110,16,56
1296,305,7973,358,1807,2020/05/04 05:00:00+00,83cd28bb-1d72-4648-9b79-8345834ac758,18,85
1297,640,8613,378,2013,2020/05/05 05:00:00+00,216ecde7-e451-4e0a-9b91-8c6e8f49e7c5,20,206
1298,346,8959,397,2148,2020/05/06 05:00:00+00,81192eb3-cfc3-4f80-965e-fbd41670a24d,19,135
1299,497,9456,407,2300,2020/05/07 05:00:00+00,7da8f727-5c91-4478-8456-2b27adc797fe,10,152
1300,595,10051,428,2424,2020/05/08 05:00:00+00,eacf7200-ed5f-48d2-85dc-860257ad38cb,21,124
1301,444,10495,445,2569,2020/05/09 05:00:00+00,5c93a092-b5cc-4b93-b44c-fe4a4e42ba10,17,145
1302,568,11063,463,2705,2020/05/10 05:00:00+00,a9f87c57-5796-493e-b22e-829f701bf4f5,18,136
1303,550,11613,479,2825,2020/05/11 05:00:00+00,0d0bed69-ca60-4710-b41e-4e63f12b9b75,16,120
1304,659,12272,493,2971,2020/05/12 05:00:00+00,80bde428-87e3-4a26-b341-faf63cc998ca,14,146
1305,658,12930,509,3133,2020/05/13 05:00:00+00,2f8ea36f-6ed5-4239-86fb-3346af488c5a,16,162
1306,680,13610,525,3358,2020/05/14 05:00:00+00,3f795c69-378b-4073-aa86-5445483d310f,16,225
1307,606,14216,546,3460,2020/05/15 05:00:00+00,88a3adb5-8590-4a03-99e5-009d0c26ba5d,21,102
1308,723,14939,562,3587,2020/05/16 05:00:00+00,503447e8-3852-4135-bdde-7075ba37f621,16,127
1309,635,15574,574,3751,2020/05/17 05:00:00+00,f157c97d-4f47-4bef-bf5e-b6f0e5ce0c83,12,164
1310,721,16295,592,3903,2020/05/18 05:00:00+00,7a694064-0ec5-4491-baa5-50cc26e5691a,18,152
1311,640,16935,613,4050,2020/05/19 05:00:00+00,84bcf218-9b3a-4824-a07d-0175d66ff784,21,147
1312,752,17687,630,4256,2020/05/20 05:00:00+00,116f5b6d-5e0f-4877-a63b-45a451d69cb2,17,206
1313,643,18330,652,4431,2020/05/21 05:00:00+00,8e84c8cf-e4ed-453b-879f-ab227ced141f,22,175
1314,801,19131,682,4575,2020/05/22 05:00:00+00,a6649948-4e87-4e65-846b-d3d34573ed54,30,144
1315,1046,20177,705,4718,2020/05/23 05:00:00+00,3bb62b26-190b-4349-a4df-bfee85abb0c3,23,143
1316,998,21175,727,5016,2020/05/24 05:00:00+00,631e1233-dffd-482f-bf24-8eab52ec7823,22,298
1317,806,21981,750,5265,2020/05/25 05:00:00+00,c2ce25e7-38c1-4229-bb7a-db24c8a46425,23,249
1318,1022,23003,776,5511,2020/05/26 05:00:00+00,fc9ab66c-e8ca-47db-9443-1624eff4fd53,26,246
1319,1101,24104,803,6111,2020/05/27 05:00:00+00,ce0298c6-d9fe-4fd3-8f1d-9262458c8565,27,600
1320,1262,25366,822,6665,2020/05/28 05:00:00+00,16f253ef-4a16-45dc-8726-ebe8cf9f061a,19,554
1321,1322,26688,853,6913,2020/05/29 05:00:00+00,2a3f6632-6873-42c9-8db5-a07db80791ee,31,248
1322,1548,28236,890,7121,2020/05/30 05:00:00+00,c32a4731-dc45-424b-bb61-e9e3c556440a,37,208
1323,1147,29383,939,8543,2020/05/31 05:00:00+00,0fc8c22a-4892-4673-97da-b862106478f1,49,1422
1324,1110,30493,969,9661,2020/06/01 05:00:00+00,b7713e60-8270-4420-8fb4-699a46c1458d,30,1118
1325,1340,31833,1009,11142,2020/06/02 05:00:00+00,96f8a5e3-aa99-492b-bf01-c339c3d5892a,40,1481
1326,1521,33354,1045,12288,2020/06/03 05:00:00+00,fbfa3b57-1263-4d63-b2e1-d01c1be9e6f9,36,1146
1327,1766,35120,1087,12921,2020/06/04 05:00:00+00,610ba806-2d54-4b66-89ba-43d1b10e2086,42,633
1328,1515,36635,1145,13638,2020/06/05 05:00:00+00,0363bbed-aacf-40b5-a1ae-6b62c1dec7ed,58,717
1329,1392,38027,1205,14382,2020/06/06 05:00:00+00,abc87cea-fbc9-4998-8b9e-235a7e31d0fc,60,744
1330,1209,39236,1259,15322,2020/06/07 05:00:00+00,5097c2ec-1714-4098-8981-5bd5f394d55b,54,940
1331,1483,40719,1308,16427,2020/06/08 05:00:00+00,49353bf4-83cf-4a43-b830-6733ff8ebdb0,49,1105
1332,1359,42078,1372,16534,2020/06/09 05:00:00+00,8f72ef89-7def-4123-b9b9-64526ff56ba4,64,107
1333,1604,43682,1433,17333,2020/06/10 05:00:00+00,a87d3110-ee06-4263-8f11-29bf446a1e63,61,799
1334,1530,45212,1488,17790,2020/06/11 05:00:00+00,72253471-02a5-4f12-8ffb-23929411d8b1,55,457
1335,1646,46858,1545,18715,2020/06/12 05:00:00+00,149c6db8-5784-4a4f-9ade-d52be059b8bd,57,925
1336,1888,48746,1592,19426,2020/06/13 05:00:00+00,2e479022-73cb-445d-8514-755325dcae1d,47,711
1337,2193,50939,1667,19822,2020/06/14 05:00:00+00,8acd9390-f030-4c21-88ff-0efc1c97e7ab,75,396
1338,2124,53063,1726,19952,2020/06/15 05:00:00+00,dab8d4a7-5429-4ce3-ba99-b20169d723ef,59,130
1339,1868,54931,1801,20366,2020/06/16 05:00:00+00,b8260d98-05c4-4173-89ad-e14ce91d584d,75,414
1340,2115,57046,1864,21326,2020/06/17 05:00:00+00,51cca95f-be16-4a13-8192-87c2b329a4fd,63,960
1341,3171,60217,1950,22680,2020/06/18 05:00:00+00,919640c0-1689-4e97-b418-79fcf84cc591,86,1354
1342,3059,63276,2045,23988,2020/06/19 05:00:00+00,17f7b8d7-380e-4a5f-838d-834da88fa7ec,95,1308
1343,2357,65633,2126,25499,2020/06/20 05:00:00+00,8d95ce3b-146e-4183-b2cb-9ed13800ea97,81,1511
1344,3019,68652,2273,27360,2020/06/21 05:00:00+00,c985630a-2153-4395-9bc8-077fdb59f76d,147,1861
1345,2531,71183,2310,28968,2020/06/22 05:00:00+00,c8d55dbc-bec7-4ae4-abee-b483fb9dd983,37,1608
